timestamp,aggr_p,aggr_s,aggr_q,aircon_p,aircon_s,aircon_q,hdryer_p,hdryer_s,hdryer_q,wboiler_p,wboiler_s,wboiler_q,ecooker_p,ecooker_s,ecooker_q,dehumid_p,dehumid_s,dehumid_q,fridge_p,fridge_s,fridge_q,aheater_p,aheater_s,aheater_q,ciron_p,ciron_s,ciron_q,rcooker_p,rcooker_s,rcooker_q,tv_p,tv_s,tv_q,vhood_p,vhood_s,vhood_q,washer_p,washer_s,washer_q
1522542212,78.06,150.21,123.46,-1.006999348,-4.789779837,-4.681301376,0,0,0,0,0,0,0.126333077,-0.079430769,-0.0931,19.23371361,17.09333016,3.839086667,-0.019843385,0.15775,0.167264615,0,0,0,0,0,0,59.73040615,137.8266023,124.2242754,0,0,0,0,0,0,0,0,0
1522542213,356.89,347.62,-6.40,-1.006992921,-4.789809158,-4.681330748,0,0,0,0,0,0,-0.090736923,-0.074630769,-0.0657,19.23371361,17.09333016,3.839086667,-0.011483385,-0.17973,-0.180235385,0,0,0,0,0,0,338.7617062,335.5696023,-5.308724615,0,0,0,0,0,0,0,0,0
1522542214,357.68,348.81,-5.85,-1.006991771,-4.789936846,-4.681458477,0,0,0,0,0,0,0.003233077,-0.112330769,-0.1131,19.23371361,17.09333016,3.839086667,0.048356615,0.41223,0.412914615,0,0,0,0,0,0,339.3977062,336.2076023,-5.308724615,0,0,0,0,0,0,0,0,0
1522542215,357.56,349.53,-5.08,-1.006999976,-4.790006894,-4.681528432,0,0,0,0,0,0,-0.040696923,-0.202630769,-0.1994,19.23371361,17.09333016,3.839086667,0.017606615,1.24785,1.270694615,0,0,0,0,0,0,339.3577062,336.1836023,-5.308724615,0,0,0,0,0,0,0,0,0
1522542216,357.64,348.20,-6.48,-1.006996051,-4.789882269,-4.681403827,0,0,0,0,0,0,-0.047186923,0.020769231,0.0258,19.23371361,17.09333016,3.839086667,0.057366615,-0.33171,-0.353305385,0,0,0,0,0,0,339.3997062,336.2116023,-5.308724615,0,0,0,0,0,0,0,0,0
1522542217,357.17,347.56,-6.64,-1.006996521,-4.789841972,-4.681363524,0,0,0,0,0,0,0.024443077,-0.051530769,-0.0543,19.23371361,17.09333016,3.839086667,0.020146615,-0.41908,-0.434005385,0,0,0,0,0,0,338.8967062,335.7246023,-5.308724615,0,0,0,0,0,0,0,0,0
1522542218,356.86,348.47,-5.49,-1.006993821,-4.789845732,-4.681367313,0,0,0,0,0,0,-0.079586923,-0.034730769,-0.0267,19.23371361,17.09333016,3.839086667,0.017446615,0.67681,0.689534615,0,0,0,0,0,0,338.6977062,335.5226023,-5.308724615,0,0,0,0,0,0,0,0,0
1522542219,356.39,347.00,-6.42,-1.006995151,-4.789926137,-4.681447708,0,0,0,0,0,0,-0.023086923,0.026069231,0.0287,19.23371361,17.09333016,3.839086667,0.046986615,-0.28182,-0.299245385,0,0,0,0,0,0,338.1427062,334.9546023,-5.308724615,0,0,0,0,0,0,0,0,0
1522542220,356.87,347.97,-5.97,-1.006993491,-4.789847399,-4.681368984,0,0,0,0,0,0,-0.028866923,0.430969231,0.4363,19.23371361,17.09333016,3.839086667,-0.036553385,-0.2582,-0.254995385,0,0,0,0,0,0,338.7077062,335.4966023,-5.308724615,0,0,0,0,0,0,0,0,0
1522542221,356.52,347.78,-5.93,-1.006995391,-4.790028549,-4.681550127,0,0,0,0,0,0,0.023253077,0.134169231,0.1325,19.23371361,17.09333016,3.839086667,-0.219247385,0.03824,0.084234615,0,0,0,0,0,0,338.4917062,335.3086023,-5.308724615,0,0,0,0,0,0,0,0,0
1522542222,356.68,348.28,-5.51,-1.006996501,-4.789925096,-4.681446651,0,0,0,0,0,0,-0.008876923,0.012069231,0.0131,19.23371361,17.09333016,3.839086667,-0.078893385,0.59467,0.624354615,0,0,0,0,0,0,338.5437062,335.3656023,-5.308724615,0,0,0,0,0,0,0,0,0
1522542223,356.64,347.88,-5.86,-1.006998391,-4.789904499,-4.681426041,0,0,0,0,0,0,-0.071646923,0.038969231,0.0466,19.23371361,17.09333016,3.839086667,-0.011273385,0.23363,0.243014615,0,0,0,0,0,0,338.4957062,335.3056023,-5.308724615,0,0,0,0,0,0,0,0,0
1522542224,915.60,1203.54,-653.78,557.5589998,850.6316769,-652.5628446,0,0,0,0,0,0,0.005613077,0.095869231,0.0958,19.23371361,17.09333016,3.839086667,0.050376615,0.15911,0.153204615,0,0,0,0,0,0,338.7467062,335.5626023,-5.308724615,0,0,0,0,0,0,0,0,0
1522542225,855.58,871.49,-167.99,497.4329998,519.1286769,-166.0798446,0,0,0,0,0,0,0.027843077,-0.122130769,-0.1257,19.23371361,17.09333016,3.839086667,-0.013113385,-0.3096,-0.313225385,0,0,0,0,0,0,338.8957062,335.7016023,-5.308724615,0,0,0,0,0,0,0,0,0
1522542226,917.56,930.40,-164.58,559.4429998,577.6406769,-163.1808446,0,0,0,0,0,0,0.013043077,0.011569231,0.0104,19.23371361,17.09333016,3.839086667,0.100576615,0.08011,0.060284615,0,0,0,0,0,0,338.7727062,335.5736023,-5.308724615,0,0,0,0,0,0,0,0,0
1522542227,942.89,956.03,-164.95,584.8979998,602.0506769,-162.7048446,0,0,0,0,0,0,-0.115096923,0.051369231,0.0634,19.23371361,17.09333016,3.839086667,0.133826615,1.25799,1.258944615,0,0,0,0,0,0,338.7377062,335.5746023,-7.402244615,0,0,0,0,0,0,0,0,0
1522542228,956.51,968.33,-162.47,597.0659998,613.7916769,-162.6458446,0,0,0,0,0,0,1.277643077,0.949569231,0.7998,19.23371361,17.09333016,3.839086667,0.101276615,0.84971,0.848894615,0,0,0,0,0,0,338.8307062,335.6456023,-5.308724615,0,0,0,0,0,0,0,0,0
1522542229,965.75,973.88,-162.50,602.9339998,619.3426769,-162.1518446,0,0,0,0,0,0,4.827333077,2.663169231,1.8516,19.23371361,17.09333016,3.839086667,0.127426615,-0.67469,-0.728205385,0,0,0,0,0,0,338.6267062,335.4526023,-5.308724615,0,0,0,0,0,0,0,0,0
1522542230,1368.90,1477.12,-537.22,604.1509998,620.7406769,-163.0258446,0,0,0,0,0,0,406.3464231,503.5485692,-372.6124,19.23371361,17.09333016,3.839086667,0.175456615,-0.06515,-0.108625385,0,0,0,0,0,0,338.9977062,335.7986023,-5.308724615,0,0,0,0,0,0,0,0,0
1522542231,1963.78,1955.78,-312.86,605.0849998,621.9456769,-164.2148446,0,0,0,0,0,0,1000.222423,979.9755692,-148.0454,19.23371361,17.09333016,3.839086667,0.157176615,0.88371,0.871754615,0,0,0,0,0,0,339.0777062,335.8816023,-5.308724615,0,0,0,0,0,0,0,0,0
1522542232,1948.60,2010.37,-479.04,612.5519998,629.4116769,-165.1738446,0,0,0,0,0,0,1156.962423,1135.175569,-141.8314,19.23371361,17.09333016,3.839086667,0.093436615,-0.52841,-0.566375385,0,0,0,0,0,0,159.7577062,229.2206023,-175.3077246,0,0,0,0,0,0,0,0,0
1522542233,1878.87,1870.96,-293.00,616.5119998,633.4326769,-165.9218446,0,0,0,0,0,0,1242.842423,1219.805569,-131.4564,19.23371361,17.09333016,3.839086667,-0.005453385,0.28262,0.291854615,0,0,0,0,0,0,0.287446154,0.347872308,0.243385385,0,0,0,0,0,0,0,0,0
1522542234,1846.09,1837.87,-294.84,614.3609998,631.5836769,-166.8328446,0,0,0,0,0,0,1212.182423,1189.255569,-131.6714,19.23371361,17.09333016,3.839086667,0.027186615,-0.42683,-0.443785385,0,0,0,0,0,0,0.282316154,0.366172308,0.267335385,0,0,0,0,0,0,0,0,0
1522542235,1898.34,1890.78,-294.23,613.4639998,630.7696769,-167.0458446,0,0,0,0,0,0,1265.432423,1242.325569,-131.5634,19.23371361,17.09333016,3.839086667,0.008706615,0.28828,0.294644615,0,0,0,0,0,0,0.200896154,0.303742308,0.241345385,0,0,0,0,0,0,0,0,0
1522542236,1854.99,1846.97,-296.18,612.6689998,630.0686769,-167.3098446,0,0,0,0,0,0,1222.612423,1199.745569,-132.6344,19.23371361,17.09333016,3.839086667,0.308316615,-0.18479,-0.271015385,0,0,0,0,0,0,0.171206154,0.250122308,0.196485385,0,0,0,0,0,0,0,0,0
1522542237,1905.09,1896.89,-295.76,610.1449998,627.7066769,-167.6078446,0,0,0,0,0,0,1275.302423,1252.175569,-131.7454,19.23371361,17.09333016,3.839086667,0.098286615,-0.3705,-0.404065385,0,0,0,0,0,0,0.312456154,0.288942308,0.161015385,0,0,0,0,0,0,0,0,0
1522542238,1867.35,1860.59,-293.97,608.8469998,626.2256769,-166.7278446,0,0,0,0,0,0,1238.982423,1216.015569,-132.2904,19.23371361,17.09333016,3.839086667,0.017276615,0.65973,0.672144615,0,0,0,0,0,0,0.269836154,0.595602308,0.536175385,0,0,0,0,0,0,0,0,0
1522542239,1902.01,1893.88,-297.63,607.4209998,624.9796769,-167.2398446,0,0,0,0,0,0,1275.172423,1252.205569,-133.7294,19.23371361,17.09333016,3.839086667,0.036916615,-0.40167,-0.420285385,0,0,0,0,0,0,0.147176154,-0.001377692,-0.078754615,0,0,0,0,0,0,0,0,0
1522542240,1919.90,1912.08,-296.31,604.2209998,622.1856769,-168.3798446,0,0,0,0,0,0,1295.882423,1272.685569,-131.5904,19.23371361,17.09333016,3.839086667,0.169306615,0.31746,0.287844615,0,0,0,0,0,0,0.398166154,-0.199467692,-0.469104615,0,0,0,0,0,0,0,0,0
1522542241,1917.01,1908.27,-295.43,603.7979998,621.4606769,-167.1688446,0,0,0,0,0,0,1293.402423,1270.195569,-131.3464,19.23371361,17.09333016,3.839086667,0.266026615,-0.42371,-0.508015385,0,0,0,0,0,0,0.310136154,-0.056997692,-0.241774615,0,0,0,0,0,0,0,0,0
1522542242,1915.88,1908.32,-295.34,602.5739998,620.3856769,-167.5768446,0,0,0,0,0,0,1293.662423,1270.485569,-131.7194,19.23371361,17.09333016,3.839086667,0.085156615,0.61864,0.616124615,0,0,0,0,0,0,0.327816154,-0.265947692,-0.501984615,0,0,0,0,0,0,0,0,0
1522542243,1912.09,1905.24,-293.79,601.0769998,618.8296769,-167.1528446,0,0,0,0,0,0,1291.792423,1268.575569,-131.2014,19.23371361,17.09333016,3.839086667,-0.147105385,0.75126,0.795254615,0,0,0,0,0,0,0.131206154,-0.004857692,-0.073584615,0,0,0,0,0,0,0,0,0
1522542244,2162.47,2190.81,-447.09,601.7499998,619.4066769,-166.8738446,0,0,0,0,0,0,1287.932423,1264.735569,-131.2304,19.23371361,17.09333016,3.839086667,0.029046615,-0.12289,-0.131325385,0,0,0,0,0,0,253.5267062,289.6996023,-152.6927246,0,0,0,0,0,0,0,0,0
1522542245,2244.74,2234.35,-299.00,600.1169998,617.8666769,-167.0128446,0,0,0,0,0,0,1286.952423,1263.725569,-130.9434,19.23371361,17.09333016,3.839086667,0.009656615,0.41635,0.425314615,0,0,0,0,0,0,338.4317062,335.2496023,-5.308724615,0,0,0,0,0,0,0,0,0
1522542246,2243.41,2232.46,-300.82,599.8679998,617.4036769,-166.1578446,0,0,0,0,0,0,1286.372423,1263.225569,-131.8984,19.23371361,17.09333016,3.839086667,0.029196615,0.00074,-0.004415385,0,0,0,0,0,0,337.9077062,334.7406023,-6.598714615,0,0,0,0,0,0,0,0,0
1522542247,2241.20,2230.16,-299.36,599.8029998,617.3336769,-166.1288446,0,0,0,0,0,0,1285.162423,1262.005569,-131.6734,19.23371361,17.09333016,3.839086667,-0.005363385,-0.09118,-0.090785385,0,0,0,0,0,0,337.0037062,333.8146023,-5.308724615,0,0,0,0,0,0,0,0,0
1522542248,2241.87,2231.03,-298.90,598.2259998,615.8866769,-166.4188446,0,0,0,0,0,0,1286.602423,1263.395569,-131.0884,19.23371361,17.09333016,3.839086667,0.037336615,0.07693,0.071894615,0,0,0,0,0,0,337.7707062,334.5736023,-5.308724615,0,0,0,0,0,0,0,0,0
1522542249,2243.73,2232.74,-300.03,599.1429998,616.9496769,-167.1028446,0,0,0,0,0,0,1287.512423,1264.315569,-131.2734,19.23371361,17.09333016,3.839086667,0.099796615,-0.15284,-0.179535385,0,0,0,0,0,0,337.7427062,334.5346023,-5.308724615,0,0,0,0,0,0,0,0,0
